AUTHOR,YEAR,TITLE,MODEL,METHOD,BIOFUEL,FEEDSTOCK,TYPE,MEAN,MIN,MAX
Acquaye,2011,Identification of 'Carbon Hot-Spots' and Quantification of GHG Intensities in the Biodiesel Supply Chain Using Hybrid LCA and Structural Path Analysis,Hybrid LCA,LCA,Biodiesel,Rapeseed,ILUC,33,14,42
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,1st generation ethanol,Sugarcane,ILUC,18,,
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,1st generation ethanol,Maize,ILUC,22,,
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,1st generation ethanol,Sugarbeet,ILUC,4,,
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,Biodiesel,Rapeseed,ILUC,31,,
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,Biodiesel,Soybean,ILUC,21,,
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,Biodiesel,Palm,ILUC,9,,
Acquaye,2012,Biofuels and their potential to aid the UK towards achieving emissions reduction policy targets,Hybrid LCA,LCA,Biodiesel,Waste Cooking Oil,ILUC,0,,
Al-Riffai,2010,Global Trade and Environmental Impacts Study of the EU biofuel Mandate,MIRAGE,CGE,Biodiesel,Rapeseed,ILUC,52,51,54
Al-Riffai,2010,Global Trade and Environmental Impacts Study of the EU biofuel Mandate,MIRAGE,CGE,Biodiesel,Soybean,ILUC,71,67,75
Al-Riffai,2010,Global Trade and Environmental Impacts Study of the EU biofuel Mandate,MIRAGE,CGE,Biodiesel,Sunflower,ILUC,58,56,61
Al-Riffai,2010,Global trade and environmental impact study of the EU biofuels mandate,IFPRI-MIRAGE,CGE,1st generation ethanol,Sugarcane,ILUC,,18,19
Al-Riffai,2010,Global trade and environmental impact study of the EU biofuels mandate,IFPRI-MIRAGE,CGE,1st generation ethanol,Maize,ILUC,67,54,79
Al-Riffai,2010,Global trade and environmental impact study of the EU biofuels mandate,IFPRI-MIRAGE,CGE,1st generation ethanol,Wheat,ILUC,27,16,37
Al-Riffai,2010,Global trade and environmental impact study of the EU biofuels mandate,IFPRI-MIRAGE,CGE,1st generation ethanol,Sugarbeet,ILUC,41,16,65
Al-Riffai,2010,Global trade and environmental impact study of the EU biofuels mandate,IFPRI-MIRAGE,CGE,Biodiesel,Palm,ILUC,47,45,50
Baral,2016,Additional supporting evidence for significant iLUC emissions of oilseed rape biodiesel production in the EU based on causal descriptive modeling approach,Causal-Descriptive Model,CD,Biodiesel,Rapeseed,ILUC,55,18,101
Bento,2014,Climate Policy Decisions Require Policy-Based Lifecycle Analysis,Hybrid LCA,LCA,1st generation ethanol,Maize,ILUC,33,30,35
Boldrin,2015,GHG sustainability compliance of rapeseed-based biofuels produced in a Danish multi-output biorefinery system,LCA,LCA,Biodiesel,Rapeseed,ILUC,54,29,79
CARB,2009,Proposed Regulation to Implement the Low Carbon Fuel standard Volume 1,GTAP,CGE,1st generation ethanol,Sugarcane,ILUC,46,32,57
CARB,2009,Proposed Regulation to Implement the Low Carbon Fuel standard Volume 1,GTAP,CGE,1st generation ethanol,Maize,ILUC,30,18,44
CARB,2009,Proposed Regulation to Implement the Low Carbon Fuel standard Volume 1,GTAP,CGE,Biodiesel,Soybean,ILUC,42,27,51
CARB,2014,Proposed re-adoption of the low carbon fuel standard,GTAP-BIO,CGE,Biodiesel,Palm,ILUC,,71,73
CARB,2014,Proposed re-adoption of the low carbon fuel standard,GTAP-BIO,CGE,1st generation ethanol,Sugarcane,ILUC,,12,14
CARB,2014,Proposed re-adoption of the low carbon fuel standard,GTAP-BIO,CGE,1st generation ethanol,Maize,ILUC,,20,22
CARB,2014,Proposed re-adoption of the low carbon fuel standard,GTAP-BIO,CGE,1st generation ethanol,Sorghum,ILUC,,19,23
CARB,2014,Proposed re-adoption of the low carbon fuel standard,GTAP-BIO,CGE,Biodiesel,Soybean,ILUC,,27,29
Dumortier,2011,Sensitivity of carbon emission estimates from indirect land-use change,CARD-GreenAgsSim,PE,1st generation ethanol,Maize,ILUC,92,98,86
Dunkelberg,2014,A case-study approach to quantifying indirect land-use change due to expanding biofuels feedstock cultivation,Case Study,Empirical,1st generation ethanol,Sugarcane,ILUC,73,1,144
Edwards,2010,Indirect Land Use Change from increased biofuels demand,FAPRI-CARD,PE,Biodiesel,Rapeseed,LUC,222,,
Edwards,2010,Indirect Land Use Change from increased biofuels demand,GTAP,CGE,1st generation ethanol,Maize,LUC,62,,
Edwards,2010,Indirect Land Use Change from increased biofuels demand,FAPRI-CARD,PE,1st generation ethanol,Wheat,LUC,16,,
Edwards,2010,Indirect Land Use Change from increased biofuels demand,GTAP,CGE,1st generation ethanol,Wheat,LUC,155,,
